date,472DE6A0,472E112A,472E4156,472E37C6,472E8448,472CB426,47E3903C,210003,472DD33A,472CF72C
2019-12-01 07:00:00,,,,,,,,,,
2019-12-02 07:00:00,1.366666666666667,0.15833333333333335,0.03333333333333333,0.2583333333333333,0.2916666666666667,0.0,0.016666666666666666,0.03333333333333333,0.0,0.3499999999999999
2019-12-03 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333297
2019-12-04 07:00:00,0.0,0.0,0.09166666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-05 07:00:00,0.0,0.20833333333333334,0.0,0.075,0.0,0.041666666666666664,0.0,0.0,0.0,0.008333333333333297
2019-12-06 07:00:00,0.6833333333333332,0.0,0.20833333333333337,0.0,0.3249999999999999,0.008333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.04999999999999997
2019-12-07 07:00:00,0.7666666666666666,0.05833333333333333,0.008333333333333371,0.22499999999999998,0.01666666666666652,0.024999999999999998,0.0,0.35000000000000003,0.0,0.18333333333333332
2019-12-08 07:00:00,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,,0.0,0.125
2019-12-09 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2019-12-10 07:00:00,0.03333333333333333,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,,0.0,0.0
2019-12-11 07:00:00,0.09999999999999999,0.11666666666666665,0.049999999999999996,0.0,0.0,0.0,0.0,,0.0,0.0
2019-12-12 07:00:00,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2019-12-13 07:00:00,0.5166666666666666,0.05000000000000001,0.06666666666666667,0.0,0.01666666666666652,0.016666666666666666,0.10833333333333334,,0.0,0.024999999999999998
2019-12-14 07:00:00,0.16666666666666666,1.1583333333333334,0.025000000000000005,0.0,0.11666666666666653,0.6666666666666666,0.016666666666666666,,0.0,0.0
2019-12-15 07:00:00,0.049999999999999996,0.0,0.06666666666666667,0.0,0.0,0.0833333333333333,0.0,,0.0,0.0
2019-12-16 07:00:00,0.04999999999999999,0.008333333333333333,0.0,0.024999999999999998,0.0,0.0,0.0,,0.0,0.0
2019-12-17 07:00:00,0.0,0.024999999999999998,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,,0.0,0.18333333333333335
2019-12-18 07:00:00,0.0,0.725,0.0,0.0,0.0,0.325,0.0,,0.0,0.0
