Unnamed: 0,est,alt,lon,lat,alt_EXP1,alt_EXP2,alt_EXP3,alt_EXP0
116075,CALLACAME,3862.0,-69.31697222222222,-16.57225,3857.154296875,3847.619140625,3858.5908203125,3846.606201171875
116060,DESAGUADERO,3833.0,-69.03680555555556,-16.563277777777778,3840.17041015625,3854.31494140625,3842.032470703125,3857.85400390625
100065,ISLA_SOTO,3832.0,-69.48897222222223,-15.562194444444444,3850.65087890625,3828.004150390625,3839.6796875,3830.251220703125
270200,RAMIS,3826.0,-69.87392777777778,-15.255808333333333,3817.936279296875,3818.87255859375,3817.982666015625,3818.7666015625
472E8448,LAGUNILLAS,4177.0,-70.67750000000002,-15.745616666666665,4183.0537109375,4258.7509765625,4249.10009765625,4181.0849609375
114050,ANANEA,4660.0,-69.53385555555555,-14.676277777777774,4656.8642578125,4681.1396484375,4654.67333984375,4683.029296875
115035,ARAPA,3837.0,-70.10904444444444,-15.178572222222225,3844.382080078125,3856.20263671875,3845.68408203125,3860.747802734375
114038,AYAVIRI,3941.0,-70.59161111111109,-14.868766666666668,3948.43994140625,3951.1259765625,3950.700439453125,3947.459716796875
114041,AZANGARO,3857.0,-70.19047222222223,-14.917194444444444,3864.90673828125,3853.12158203125,3863.913818359375,3853.51806640625
115033,CABANILLAS,3885.0,-70.34660833333332,-15.639108333333333,3893.930908203125,3912.450927734375,3895.8291015625,3910.017578125
100021,CAPACHICA,3822.0,-69.84222222222222,-15.613444444444443,3844.4130859375,3858.1611328125,3844.181884765625,3858.9326171875
115053,COJATA,4347.0,-69.36115277777778,-15.011791666666667,4343.8466796875,4344.0654296875,4344.76611328125,4344.3466796875
115037,HUANCANE,3842.0,-69.75830555555554,-15.20686111111111,3876.99560546875,3931.150146484375,3891.616943359375,3927.895751953125
115038,HUARAYA_MOHO,3836.0,-69.48419166666666,-15.388097222222221,3888.0205078125,3922.765869140625,3910.667236328125,3910.68505859375
100059,ICHUс,3778.0,-70.54270277777778,-16.14108611111111,3985.88330078125,4027.7998046875,3990.7705078125,4028.72314453125
116027,ILAVE,3874.0,-69.64038888888889,-16.059944444444444,3847.88037109375,3846.6376953125,3844.5302734375,3848.318359375
116009,ISLA_SUANA,3840.0,-68.85033333333332,-16.329916666666666,3819.53271484375,3822.12255859375,3822.021728515625,3821.46533203125
115138,JULIACA,3838.0,-70.20778333333334,-15.44415,3833.1015625,3840.751708984375,3833.571533203125,3840.51416015625
100081,LAMPA,3866.0,-70.37416666666665,-15.361083333333333,3875.71630859375,3877.20849609375,3882.521728515625,3877.47607421875
100088,LOS_UROS,3819.0,-69.97413888888889,-15.820388888888884,3816.7978515625,3810.51025390625,3817.18603515625,3811.22802734375
115051,MAсZO,3931.0,-70.3395,-15.799444444444443,3924.954345703125,3915.888916015625,3929.071533203125,3913.975341796875
116026,MAZO_CRUZ,3980.0,-69.71544444444444,-16.73888888888889,3979.965576171875,3998.02978515625,3983.3203125,3995.44775390625
114042,MUсNI,3932.0,-69.95180555555554,-14.766944444444444,3927.55517578125,3943.794189453125,3933.556396484375,3941.4482421875
116029,PIZACOMA,3930.0,-69.36952777777778,-16.90434722222222,3943.291015625,4008.55517578125,3958.367919921875,4000.77734375
114040,PROGRESO,3925.0,-70.36780555555555,-14.671694444444444,3948.9228515625,3953.414306640625,3948.361572265625,3952.47509765625
115046,PUCARA,3877.0,-70.36663888888889,-15.045666666666667,3982.81494140625,3961.9599609375,4002.697021484375,3949.1259765625
114093,PUTINA,3861.0,-69.87569444444443,-14.921,3855.94287109375,3874.74609375,3865.071533203125,3872.466796875
115140,SANTA_LUCIA,4045.0,-70.5992722222222,-15.694075,4117.2333984375,4117.45849609375,4112.04541015625,4121.994140625
116030,TAHUACO_-_YUNGUYO,3888.0,-69.07472222222222,-16.307833333333335,3896.174072265625,3886.62060546875,3896.257568359375,3883.720703125
115047,TARACO,3828.0,-69.97247222222222,-15.311666666666667,3824.04296875,3823.0380859375,3823.917724609375,3822.994384765625
472E112A,ILAVE,3850.0,-69.62591666666665,-16.08825,3845.10498046875,3849.35595703125,3845.90478515625,3849.22021484375
472E4156,ILLPA,3827.0,-70.079875,-15.687255555555556,3823.0,3830.623046875,3822.859375,3830.790771484375
472CF72C,JULIACA,3826.0,-70.17122222222223,-15.471055555555555,3833.56396484375,3829.55322265625,3833.586669921875,3829.86962890625
472CB426,LARAQUERI,3928.0,-70.04588888888888,-16.135916666666667,3942.83251953125,3924.57763671875,3940.26611328125,3923.7021484375
472E37C6,PALCA,4073.0,-70.59315,-15.235866666666665,4087.30859375,4133.7509765625,4110.15576171875,4114.88671875
472DD33A,PUNO,3812.0,-70.01208333333334,-15.82625,3926.92724609375,3899.970703125,3946.39404296875,3891.8046875
7boli0,Chijipina,3832.0,-68.69388900000007,-15.996943999999989,3826.9140625,3825.392578125,3826.68408203125,3825.529296875
7boli1,Belen,3828.0,-68.71207200000008,-16.019295000000042,3826.149169921875,3826.0830078125,3825.783447265625,3826.197509765625
