date,472DE6A0,472E112A,472E4156,472E37C6,472CB426,47E3903C,472DD33A,472CF72C
2019-12-01 19:00:00,9.483333333333333,15.641666666666666,15.475,13.85,15.283333333333333,8.424999999999999,15.341666666666669,16.141666666666666
2019-12-02 19:00:00,7.758333333333333,11.424999999999999,11.25,9.283333333333333,10.975,7.575,11.6,11.391666666666666
2019-12-03 19:00:00,11.183333333333332,14.666666666666666,14.308333333333332,12.299999999999999,15.166666666666666,10.008333333333333,14.399999999999999,14.466666666666669
2019-12-04 19:00:00,10.991666666666667,15.016666666666667,14.741666666666667,13.133333333333335,13.733333333333333,9.983333333333333,14.341666666666667,15.066666666666668
2019-12-05 19:00:00,8.65,12.425000000000002,12.550000000000002,11.15,10.916666666666666,8.5,12.049999999999999,12.883333333333333
2019-12-06 19:00:00,9.091666666666667,13.391666666666666,13.608333333333334,12.125,12.391666666666666,8.116666666666665,12.950000000000001,14.175000000000002
2019-12-07 19:00:00,9.3,12.683333333333335,12.708333333333334,11.799999999999999,12.441666666666665,8.066666666666666,12.391666666666666,12.658333333333331
2019-12-08 19:00:00,10.758333333333333,13.891666666666666,13.600000000000001,12.708333333333334,13.833333333333334,9.458333333333334,13.341666666666669,14.041666666666666
2019-12-09 19:00:00,12.116666666666667,15.591666666666667,15.016666666666666,14.125,14.441666666666665,11.574999999999998,14.924999999999999,15.583333333333336
2019-12-10 19:00:00,12.358333333333334,15.608333333333334,15.408333333333333,15.025,14.708333333333334,12.225000000000001,15.225,15.991666666666667
2019-12-11 19:00:00,11.508333333333333,15.574999999999998,14.708333333333334,14.316666666666665,14.975,10.683333333333332,15.15,15.683333333333332
2019-12-12 19:00:00,10.791666666666666,15.775,15.366666666666665,13.674999999999999,14.183333333333332,9.866666666666667,15.233333333333334,15.291666666666666
2019-12-13 19:00:00,8.041666666666666,12.933333333333332,11.583333333333334,11.25,11.791666666666666,6.466666666666668,12.408333333333333,11.858333333333334
2019-12-14 19:00:00,8.275,12.049999999999999,11.891666666666666,12.558333333333335,11.141666666666666,7.125,11.700000000000001,13.491666666666667
2019-12-15 19:00:00,9.125,13.008333333333333,12.558333333333332,12.233333333333334,11.841666666666667,8.591666666666667,12.200000000000001,13.875
2019-12-16 19:00:00,10.358333333333333,13.950000000000001,14.358333333333333,12.416666666666666,13.375,10.1,14.049999999999999,15.025
2019-12-17 19:00:00,10.541666666666666,14.725000000000001,14.583333333333334,12.9,14.341666666666667,11.566666666666665,14.899999999999999,14.6
2019-12-18 19:00:00,8.6,13.291666666666666,13.708333333333334,11.891666666666666,12.141666666666666,9.016666666666667,13.533333333333333,14.083333333333334
