,0
472DE6A0,3.6093055555555558
472E112A,8.236851851851851
472E4156,8.31524064171123
472E37C6,5.850833333333334
472CB426,6.214722222222221
47E3903C,1.7960185185185185
472DD33A,9.076018518518518
472CF72C,7.601574074074074
