lon,lat,t2m,tipo,distancia,acum_distancia,topo
-69.9518055555555,-14.7669444444444,10.9022471910112,0,0.0,0.0,3927.55517578125
-69.95289611816406,-14.761207580566406,9.918294906616211,1,0.6423560546066349,0.6423560546066349,3927.55517578125
-69.97117614746094,-14.761207580566406,9.367087364196777,1,2.01080322265625,2.653159277262885,4008.73095703125
-69.98944854736328,-14.761207580566406,9.100439071655273,1,2.0099639892578125,4.663123266520698,4047.111328125
-70.00772094726562,-14.743537902832031,8.56114673614502,1,2.796030601419959,7.459153867940657,4121.1884765625
-70.02599334716797,-14.743537902832031,7.970498085021973,1,2.0099639892578125,9.46911785719847,4196.36572265625
-70.04426574707031,-14.743537902832031,9.266231536865234,1,2.0099639892578125,11.479081846456282,4020.3759765625
-70.06254577636719,-14.743537902832031,8.947145462036133,1,2.01080322265625,13.489885069112532,4078.703125
-70.13563537597656,-14.725860595703125,9.268861770629883,1,8.271661186031498,21.76154625514403,4018.01025390625
-70.11736297607422,-14.725860595703125,8.955660820007324,1,2.0099639892578125,23.771510244401842,4077.427978515625
-70.1539077758789,-14.725860595703125,9.080509185791016,1,4.019927978515625,27.791438222917467,4054.8720703125
-70.08081817626953,-14.725860595703125,8.535223960876465,1,8.03985595703125,35.83129417994871,4134.3525390625
-70.09909057617188,-14.725860595703125,8.916996955871582,1,2.0099639892578125,37.841258169206526,4083.51513671875
-70.17218780517578,-14.708183288574219,9.421775817871094,1,8.272476903085812,46.113735072292336,4009.159423828125
-70.19046020507812,-14.708183288574219,9.651083946228027,1,2.0099639892578125,48.12369906155015,3968.39599609375
-70.20873260498047,-14.708183288574219,9.845365524291992,1,2.0099639892578125,50.13366305080796,3957.9970703125
-70.22700500488281,-14.708183288574219,9.383988380432129,1,2.0099639892578125,52.14362704006577,4034.366455078125
-70.24527740478516,-14.708183288574219,9.010372161865234,1,2.0099639892578125,54.153591029323586,4071.481201171875
-70.2635498046875,-14.690513610839844,7.9252471923828125,1,2.796030601419959,56.94962163074354,4208.5400390625
-70.28182983398438,-14.690513610839844,9.694823265075684,1,2.01080322265625,58.96042485339979,3999.50244140625
-70.30010223388672,-14.690513610839844,10.2745943069458,1,2.0099639892578125,60.970388842657606,3895.100830078125
-70.31837463378906,-14.690513610839844,10.344080924987793,1,2.0099639892578125,62.98035283191542,3899.0380859375
-70.37319946289062,-14.672836303710938,10.079072952270508,1,6.336466979909001,69.31681981182442,3948.9228515625
-70.3366470336914,-14.672836303710938,10.143205642700195,1,4.0207672119140625,73.33758702373848,3934.842041015625
-70.35491943359375,-14.672836303710938,10.003520965576172,1,2.0099639892578125,75.34755101299629,3943.60888671875
