Unnamed: 0,est,alt,lon,lat,pr,pr_EXP0,pr_EXP1,pr_EXP2,pr_EXP3,pr_EXP4,pr_EXP5,pr_EXP6,pr_EXP7,pr_EXP8,pr_EXP9,pr_EXP10
114050,ANANEA,4660.0,-69.53385555555555,-14.676277777777774,4.391111111111112,5.173268795013428,5.866328239440918,4.608122825622559,5.138491630554199,6.401561737060547,6.0980224609375,6.599071502685547,5.526119232177734,5.05759859085083,7.439495086669922,6.211613655090332
115035,ARAPA,3837.0,-70.10904444444444,-15.178572222222225,3.9681318681318682,2.32330322265625,2.50412917137146,2.0697522163391113,1.9756747484207153,2.1968679428100586,1.9616966247558594,4.707374095916748,4.3333048820495605,3.5236289501190186,4.919252872467041,3.532986879348755
114038,AYAVIRI,3941.0,-70.59161111111109,-14.868766666666668,5.0417582417582425,4.019072532653809,3.676269769668579,3.246583938598633,3.2749290466308594,4.5120344161987305,4.158985614776611,7.919897556304932,7.876240253448486,6.613960266113281,6.7919511795043945,7.639078617095947
114041,AZANGARO,3857.0,-70.19047222222223,-14.917194444444444,3.976404494382022,2.492176055908203,3.118011713027954,2.4088659286499023,2.032799005508423,3.8650994300842285,3.0459251403808594,7.491153717041016,5.895541191101074,3.8561604022979736,5.633233070373535,4.878951072692871
115033,CABANILLAS,3885.0,-70.34660833333332,-15.639108333333333,4.254945054945057,2.204491376876831,2.563699245452881,1.7863866090774536,1.7474769353866577,2.7680444717407227,2.860544204711914,5.929901599884033,4.2818522453308105,4.512324333190918,4.241164684295654,3.5818426609039307
116075,CALLACAME,3862.0,-69.31697222222222,-16.57225,4.3439560439560445,3.1847612857818604,3.518383264541626,3.695254325866699,3.761143922805786,3.8936564922332764,3.734388589859009,6.789010524749756,5.9818434715271,3.705465078353882,5.493592262268066,4.827335357666016
100021,CAPACHICA,3822.0,-69.84222222222222,-15.613444444444443,4.721978021978021,4.612263202667236,4.523332118988037,3.318429470062256,3.7994916439056396,4.09412956237793,4.103817939758301,7.063397407531738,5.188708305358887,4.290633678436279,6.227449417114258,5.28523063659668
115053,COJATA,4347.0,-69.36115277777778,-15.011791666666667,3.7439560439560435,3.5875563621520996,3.2736542224884033,3.1870839595794678,3.1876533031463623,3.8387272357940674,3.260200023651123,6.900074005126953,5.3414483070373535,3.859431028366089,5.245148181915283,5.4101481437683105
116060,DESAGUADERO,3833.0,-69.03680555555556,-16.563277777777778,4.797802197802198,4.033613681793213,4.78302526473999,3.2112772464752197,3.711400032043457,4.153987884521484,4.072774410247803,7.039996147155762,6.61203145980835,5.460088729858398,5.898833751678467,5.98785924911499
115037,HUANCANE,3842.0,-69.75830555555554,-15.20686111111111,4.247252747252746,2.663867473602295,3.082859992980957,2.780548095703125,2.3293068408966064,2.7839126586914062,2.43428373336792,5.666390419006348,4.069361209869385,2.6093759536743164,5.348291873931885,3.2765142917633057
