date,472DE6A0,472E112A,472E4156,472E37C6,472CB426,47E3903C,472DD33A,472CF72C
2019-12-01 07:00:00,,,,,,,,
2019-12-02 07:00:00,1.95,9.125,8.674999999999999,6.633333333333333,7.575,2.7916666666666665,10.708333333333334,8.625
2019-12-03 07:00:00,1.9666666666666668,7.883333333333333,5.5249999999999995,3.5833333333333335,5.466666666666666,1.0249999999999997,8.141666666666667,6.191666666666666
2019-12-04 07:00:00,3.5999999999999996,7.733333333333334,5.175,4.816666666666666,5.8500000000000005,-0.6083333333333337,7.333333333333333,6.733333333333334
2019-12-05 07:00:00,4.058333333333333,8.966666666666667,7.758333333333333,5.933333333333334,7.266666666666667,0.2999999999999997,9.041666666666666,9.208333333333334
2019-12-06 07:00:00,1.5333333333333332,8.208333333333334,6.6000000000000005,6.4750000000000005,6.4750000000000005,1.6749999999999996,7.966666666666666,7.108333333333333
2019-12-07 07:00:00,2.066666666666667,7.408333333333334,7.416666666666667,5.8,6.491666666666667,1.583333333333333,8.783333333333333,7.666666666666667
2019-12-08 07:00:00,3.1500000000000004,7.833333333333333,6.508333333333334,4.791666666666667,6.724999999999999,-0.8750000000000003,8.516666666666667,6.875
2019-12-09 07:00:00,2.966666666666667,7.583333333333333,6.008333333333334,5.041666666666667,5.708333333333333,-1.2916666666666667,9.425,7.3500000000000005
2019-12-10 07:00:00,3.008333333333333,9.166666666666666,6.966666666666666,3.8000000000000003,7.291666666666667,-0.141666666666667,10.733333333333334,7.658333333333334
2019-12-11 07:00:00,4.183333333333334,9.025,7.408333333333334,7.758333333333333,6.650000000000001,0.6333333333333334,10.733333333333333,9.483333333333333
2019-12-12 07:00:00,3.4749999999999996,9.366666666666667,7.375,6.574999999999999,7.266666666666667,0.025000000000000105,11.066666666666668,9.408333333333333
2019-12-13 07:00:00,2.3583333333333334,8.466666666666667,5.175,6.316666666666666,5.691666666666666,0.5916666666666667,9.041666666666666,5.625
2019-12-14 07:00:00,3.858333333333333,7.758333333333334,7.066666666666666,6.658333333333334,6.0249999999999995,1.9333333333333336,8.191666666666666,7.616666666666667
2019-12-15 07:00:00,3.191666666666667,8.700000000000001,6.541666666666667,5.824999999999999,7.733333333333334,1.425,9.55,7.966666666666666
2019-12-16 07:00:00,3.858333333333334,7.075,5.7250000000000005,5.95,5.008333333333334,0.6416666666666666,8.116666666666665,7.666666666666667
2019-12-17 07:00:00,2.0083333333333333,6.883333333333334,4.325,3.2416666666666667,4.3,-0.43333333333333335,7.849999999999999,5.625
2019-12-18 07:00:00,3.783333333333333,6.900000000000001,5.741666666666667,5.733333333333333,4.425,0.08333333333333333,9.183333333333334,7.900000000000001
2019-12-19 07:00:00,2.8166666666666664,7.824999999999999,4.55,5.3,5.541666666666667,1.7583333333333335,8.533333333333333,6.808333333333333
2019-12-20 07:00:00,3.025,8.549999999999999,6.925,5.641666666666667,6.066666666666666,0.8416666666666668,8.85,7.825
2019-12-21 07:00:00,4.741666666666666,8.674999999999999,7.666666666666667,6.333333333333333,5.516666666666667,0.7000000000000001,9.266666666666667,8.066666666666666
2019-12-22 07:00:00,3.1333333333333333,8.733333333333333,6.941666666666667,5.258333333333334,5.8500000000000005,0.9916666666666667,10.183333333333334,7.150000000000001
2019-12-23 07:00:00,3.691666666666667,9.466666666666667,5.566666666666666,4.883333333333333,6.175000000000001,1.6583333333333332,9.975,7.3999999999999995
2019-12-24 07:00:00,3.8249999999999997,9.041666666666666,6.4750000000000005,7.3500000000000005,5.8500000000000005,1.9333333333333336,10.091666666666667,8.558333333333332
2019-12-25 07:00:00,1.7666666666666666,9.541666666666666,6.841666666666668,6.425,7.758333333333333,1.825,10.216666666666667,7.5
2019-12-26 07:00:00,4.441666666666666,9.85,6.241666666666667,6.925000000000001,7.400000000000001,0.9833333333333333,10.516666666666666,6.858333333333334
2019-12-27 07:00:00,4.908333333333333,6.283333333333334,6.566666666666666,5.558333333333334,6.091666666666666,3.3000000000000003,7.483333333333333,7.191666666666667
2019-12-28 07:00:00,4.408333333333332,8.458333333333334,6.616666666666666,5.341666666666666,6.508333333333334,0.9500000000000001,9.425,7.825
2019-12-29 07:00:00,3.658333333333333,8.083333333333334,7.2,4.925,5.558333333333334,0.44999999999999996,9.325000000000001,7.458333333333333
2019-12-30 07:00:00,2.2666666666666666,7.858333333333333,4.7749999999999995,4.266666666666667,4.666666666666667,-0.17499999999999996,7.7,6.733333333333333
2019-12-31 07:00:00,5.016666666666667,9.441666666666666,7.191666666666667,5.066666666666667,8.016666666666667,1.6166666666666663,10.116666666666667,7.858333333333334
2020-01-01 07:00:00,2.991666666666667,6.2,6.65,6.449999999999999,5.133333333333333,2.8166666666666664,7.191666666666666,7.541666666666667
2020-01-02 07:00:00,3.5499999999999994,7.5,6.8999999999999995,5.933333333333333,6.058333333333334,1.325,7.7749999999999995,7.075
2020-01-03 07:00:00,4.966666666666666,8.541666666666666,7.233333333333334,4.841666666666666,6.383333333333334,2.05,8.466666666666667,7.416666666666667
2020-01-04 07:00:00,2.1,8.141666666666667,6.558333333333334,5.833333333333333,5.8,1.3083333333333331,8.691666666666668,6.833333333333333
2020-01-05 07:00:00,3.883333333333333,8.391666666666667,7.508333333333334,6.375,7.658333333333334,2.3666666666666663,9.291666666666666,7.941666666666666
2020-01-06 07:00:00,3.0916666666666663,6.683333333333333,6.108333333333333,5.4750000000000005,5.291666666666667,-0.32500000000000023,7.158333333333332,6.258333333333334
2020-01-07 07:00:00,2.7833333333333337,7.666666666666667,12.6,4.3,5.425,0.33333333333333287,9.166666666666666,6.8
2020-01-08 07:00:00,1.9583333333333333,6.758333333333333,13.045454545454545,3.641666666666667,4.716666666666667,-0.9083333333333338,8.0,6.375
2020-01-09 07:00:00,1.3833333333333335,6.633333333333333,3.9416666666666664,3.5416666666666665,4.1000000000000005,-0.43333333333333385,8.508333333333335,6.033333333333334
2020-01-10 07:00:00,2.733333333333333,8.291666666666666,14.35,4.841666666666666,5.733333333333333,0.4916666666666662,9.6,6.199999999999999
2020-01-11 07:00:00,3.158333333333333,8.183333333333332,6.445454545454546,6.2,3.9583333333333335,1.8333333333333328,8.941666666666666,7.541666666666667
2020-01-12 07:00:00,3.416666666666666,6.783333333333332,6.572727272727274,5.191666666666667,4.691666666666667,1.8499999999999996,7.2250000000000005,7.108333333333333
2020-01-13 07:00:00,3.775,8.583333333333334,,5.349999999999999,6.25,1.0083333333333329,9.316666666666666,6.3999999999999995
2020-01-14 07:00:00,3.6833333333333336,8.133333333333333,,7.2749999999999995,6.316666666666666,1.041666666666666,9.058333333333334,8.316666666666666
2020-01-15 07:00:00,5.25,8.341666666666667,,7.191666666666666,6.241666666666667,2.3583333333333325,8.941666666666666,9.033333333333333
2020-01-16 07:00:00,3.5083333333333333,8.858333333333333,,6.050000000000001,6.433333333333333,2.016666666666666,8.983333333333334,7.75
2020-01-17 07:00:00,4.0,8.608333333333334,,5.733333333333333,6.675,2.3749999999999996,9.924999999999999,7.666666666666667
2020-01-18 07:00:00,5.458333333333333,8.275,,6.175,6.949999999999999,2.891666666666666,9.025,5.991666666666667
2020-01-19 07:00:00,6.458333333333333,8.108333333333333,,7.591666666666668,4.5249999999999995,4.283333333333333,9.591666666666667,7.3
2020-01-20 07:00:00,6.366666666666667,9.483333333333333,15.77,8.441666666666666,7.433333333333333,3.3083333333333322,10.408333333333333,9.125
2020-01-21 07:00:00,4.2,8.9,,6.75,7.833333333333333,3.4499999999999997,9.608333333333333,8.85
2020-01-22 07:00:00,5.958333333333333,9.5,,7.849999999999999,7.583333333333333,3.5833333333333326,9.858333333333333,8.683333333333334
2020-01-23 07:00:00,4.366666666666666,7.716666666666668,,5.308333333333333,6.166666666666667,4.7333333333333325,9.225,8.458333333333334
2020-01-24 07:00:00,3.408333333333333,8.875,12.566666666666665,4.3999999999999995,6.883333333333333,1.8166666666666662,10.549999999999999,6.691666666666666
2020-01-25 07:00:00,5.366666666666666,10.3,14.033333333333333,5.291666666666667,8.466666666666667,3.283333333333333,11.808333333333335,8.458333333333334
2020-01-26 07:00:00,3.8416666666666663,9.049999999999999,15.70909090909091,6.391666666666666,5.625,1.5083333333333326,10.775,7.966666666666666
2020-01-27 07:00:00,4.416666666666667,9.116666666666667,16.419999999999998,7.6499999999999995,5.7250000000000005,2.224999999999999,10.608333333333334,8.716666666666667
2020-01-28 07:00:00,3.8416666666666663,6.291666666666667,16.68,4.583333333333333,4.7250000000000005,1.4333333333333327,7.541666666666667,5.8999999999999995
2020-01-29 07:00:00,2.408333333333333,8.0,,5.291666666666666,5.8500000000000005,-0.7500000000000006,8.825,7.2250000000000005
2020-01-30 07:00:00,5.516666666666667,8.65,,5.474999999999999,6.816666666666667,2.5749999999999997,7.8500000000000005,7.633333333333334
2020-01-31 07:00:00,,7.866666666666667,,5.858333333333333,4.875,2.358333333333333,8.125,7.466666666666666
2020-02-01 07:00:00,,8.1,13.654545454545454,5.658333333333332,5.558333333333333,2.0916666666666663,8.458333333333334,6.608333333333333
2020-02-02 07:00:00,,9.383333333333335,13.4,7.316666666666666,6.433333333333334,3.558333333333333,10.0,8.35
2020-02-03 07:00:00,,8.358333333333333,14.379999999999999,4.833333333333333,6.325,2.7166666666666663,7.349999999999999,7.175000000000001
2020-02-04 07:00:00,,8.658333333333333,,4.6499999999999995,7.116666666666667,4.133333333333333,8.491666666666667,7.533333333333334
2020-02-05 07:00:00,,8.391666666666666,,5.625,5.4750000000000005,1.3499999999999996,9.258333333333335,7.891666666666667
2020-02-06 07:00:00,,8.975,,6.974999999999999,7.466666666666666,1.4416666666666662,9.908333333333333,8.700000000000001
2020-02-07 07:00:00,,8.283333333333333,,6.191666666666666,7.041666666666667,2.933333333333333,9.058333333333332,8.125
2020-02-08 07:00:00,,8.541666666666666,,7.2250000000000005,7.650000000000001,3.3499999999999996,9.341666666666667,8.675
2020-02-09 07:00:00,,7.408333333333334,,6.724999999999999,6.358333333333333,1.7999999999999996,8.891666666666667,8.174999999999999
2020-02-10 07:00:00,,7.266666666666667,,5.441666666666666,6.050000000000001,0.5833333333333327,7.941666666666666,6.5
2020-02-11 07:00:00,,7.808333333333334,,5.458333333333333,6.324999999999999,2.291666666666666,8.741666666666667,7.808333333333334
2020-02-12 07:00:00,,7.533333333333334,,6.166666666666665,5.641666666666667,2.541666666666666,7.816666666666666,7.508333333333333
2020-02-13 07:00:00,,7.441666666666666,,6.683333333333333,5.658333333333332,0.6749999999999994,8.25,8.75
2020-02-14 07:00:00,,8.166666666666666,,7.008333333333333,5.808333333333334,3.291666666666666,7.9750000000000005,8.125
2020-02-15 07:00:00,,7.916666666666667,,3.9499999999999993,4.825,2.941666666666666,7.9750000000000005,6.183333333333334
2020-02-16 07:00:00,,8.425,,5.691666666666666,6.358333333333333,3.1583333333333328,9.375,8.108333333333333
2020-02-17 07:00:00,,8.908333333333333,,5.983333333333333,7.0249999999999995,2.066666666666666,10.316666666666666,8.208333333333334
2020-02-18 07:00:00,,8.233333333333333,,6.733333333333333,6.016666666666666,3.458333333333332,9.225000000000001,9.041666666666666
2020-02-19 07:00:00,,8.441666666666666,,6.974999999999999,5.258333333333334,3.4499999999999993,10.266666666666666,7.45
2020-02-20 07:00:00,,8.225,,6.1916666666666655,5.941666666666667,3.674999999999999,9.275,7.491666666666666
2020-02-21 07:00:00,,8.608333333333333,,6.6499999999999995,7.050000000000001,3.358333333333333,9.241666666666665,7.866666666666666
2020-02-22 07:00:00,,7.916666666666667,,5.925,6.6000000000000005,3.1249999999999996,8.25,7.233333333333333
2020-02-23 07:00:00,,8.583333333333334,,6.716666666666666,7.133333333333333,3.6249999999999996,9.566666666666668,8.175
2020-02-24 07:00:00,,8.508333333333333,,6.266666666666666,7.991666666666667,4.041666666666666,9.966666666666667,8.816666666666668
