Unnamed: 0,est,alt,lon,lat,pr,t2m,pr_EXP0,pr_EXP1,pr_EXP2,pr_EXP3,pr_EXP4,pr_EXP5,pr_EXP6,pr_EXP7,pr_EXP8,pr_EXP9,pr_EXP10,t2m_EXP0,t2m_EXP1,t2m_EXP2,t2m_EXP3,t2m_EXP4,t2m_EXP5,t2m_EXP6,t2m_EXP7,t2m_EXP8,t2m_EXP9,t2m_EXP10
114050,ANANEA,4660.0,-69.53385555555555,-14.676277777777774,4.391111111111112,5.408888888888888,5.173268795013428,5.866328239440918,4.608122825622559,5.138492107391357,6.401561737060547,6.0980224609375,6.599071502685547,5.526119709014893,5.05759859085083,7.439495086669922,6.211613655090332,3.9575345516204834,4.137207508087158,4.183763027191162,4.397315979003906,4.016631603240967,4.082818508148193,3.785968780517578,3.5335938930511475,3.5310730934143066,3.387752056121826,3.3192811012268066
115035,ARAPA,3837.0,-70.10904444444444,-15.178572222222225,3.9681318681318682,10.743333333333327,2.32330322265625,2.504128932952881,2.0697522163391113,1.9756747484207153,2.1968681812286377,1.9616966247558594,4.707374095916748,4.3333048820495605,3.5236289501190186,4.919252872467041,3.532986879348755,10.292925834655762,10.5665864944458,10.410717964172363,10.633559226989746,10.94394588470459,10.774344444274902,10.362728118896484,10.37424087524414,10.484700202941895,10.19128704071045,10.431940078735352
114038,AYAVIRI,3941.0,-70.59161111111109,-14.868766666666668,5.0417582417582425,11.162637362637362,4.019072532653809,3.676269769668579,3.246583938598633,3.2749288082122803,4.5120344161987305,4.158985614776611,7.919897079467773,7.8762407302856445,6.613960266113281,6.791951656341553,7.639078617095947,10.299681663513184,10.387377738952637,10.553478240966797,10.647189140319824,10.122013092041016,10.131078720092773,9.590946197509766,9.484428405761719,9.665190696716309,9.569355964660645,9.53574275970459
114041,AZANGARO,3857.0,-70.19047222222223,-14.917194444444444,3.976404494382022,11.541573033707865,2.492176055908203,3.118011474609375,2.4088659286499023,2.032799005508423,3.8650994300842285,3.0459251403808594,7.491153717041016,5.895541191101074,3.8561604022979736,5.633233070373535,4.878951072692871,10.971549987792969,10.934762001037598,11.155150413513184,11.23412036895752,10.686192512512207,11.53958797454834,10.78348445892334,10.977212905883789,10.998310089111328,11.053642272949219,10.859053611755371
115033,CABANILLAS,3885.0,-70.34660833333332,-15.639108333333333,4.254945054945057,11.481868131868133,2.20449161529541,2.563699245452881,1.7863866090774536,1.7474769353866577,2.7680444717407227,2.860544204711914,5.929901599884033,4.2818522453308105,4.512324333190918,4.241164684295654,3.5818428993225098,10.502999305725098,10.813603401184082,10.591545104980469,11.049653053283691,10.699216842651367,10.711475372314453,10.338859558105469,10.310471534729004,10.50284194946289,10.062287330627441,10.43972110748291
100021,CAPACHICA,3822.0,-69.84222222222222,-15.613444444444443,4.721978021978021,10.358241758241755,4.612263202667236,4.523332118988037,3.318429470062256,3.7994916439056396,4.09412956237793,4.103817939758301,7.063397407531738,5.188708782196045,4.290633678436279,6.2274489402771,5.28523063659668,10.172394752502441,10.461923599243164,10.229891777038574,10.540560722351074,10.410283088684082,10.396361351013184,10.154132843017578,10.17436408996582,10.275440216064453,9.859333038330078,10.15318775177002
114035,CHUQUIBAMBILLA,3918.0,-70.72849166666667,-14.787905555555556,6.401098901098902,9.968750000000004,3.868788957595825,3.658562660217285,2.933809280395508,3.3761985301971436,3.9561445713043213,3.5948476791381836,5.475583553314209,6.662324905395508,6.71928596496582,4.899888038635254,6.2234272956848145,10.206881523132324,10.278902053833008,10.433892250061035,10.487001419067383,10.140373229980469,10.196404457092285,9.721631050109863,9.623739242553711,9.779580116271973,9.530378341674805,9.535088539123535
115053,COJATA,4347.0,-69.36115277777778,-15.011791666666667,3.7439560439560435,7.145930232558138,3.5875563621520996,3.2736542224884033,3.1870839595794678,3.1876533031463623,3.8387269973754883,3.260200023651123,6.900074005126953,5.3414483070373535,3.859431028366089,5.245148181915283,5.4101481437683105,5.9224162101745605,6.100069999694824,6.2079267501831055,6.287838935852051,5.941544532775879,6.132872104644775,5.970129489898682,5.643858909606934,5.882639408111572,5.615591526031494,5.770824909210205
115037,HUANCANE,3842.0,-69.75830555555554,-15.20686111111111,4.247252747252746,10.245054945054944,2.663867473602295,3.082859992980957,2.780548095703125,2.3293068408966064,2.7839126586914062,2.43428373336792,5.666390419006348,4.069361209869385,2.6093759536743164,5.348292350769043,3.2765142917633057,9.572903633117676,10.237515449523926,9.755115509033203,10.273348808288574,10.323718070983887,10.327851295471191,10.016182899475098,9.91641616821289,10.172123908996582,9.702349662780762,10.066780090332031
115038,HUARAYA_MOHO,3836.0,-69.48419166666666,-15.388097222222221,6.529670329670329,10.439560439560436,2.6711652278900146,2.629140853881836,2.8004021644592285,2.9201858043670654,2.889930009841919,2.7965447902679443,6.5157928466796875,4.728750705718994,2.8912878036499023,5.267654895782471,3.4810667037963867,9.727490425109863,10.108711242675781,9.734794616699219,10.04832935333252,10.250469207763672,10.228933334350586,9.969701766967773,9.964597702026367,10.075782775878906,9.773215293884277,9.945985794067383
