date,472E37C6,472CB426,472E8448,472CF72C,472E112A,47E3903C,100021,100059,100065,100088,114034,100081,114035,114038,114040,114041,114042,114047,114050,114093,115037,115038,115033,115035,115046,115047,115051,115053,115138,115140,116009,116026,116075,116027,270200,116029,116030,116060
2019-12-17,0.0,14.2,0.4,0.0,8.7,0.0,4.4,0.0,0.0,0.0,3.9,0.8,1.8,0.1,0.0,0.0,0.0,0.0,0.0,2.1,0.0,4.6,0.0,0.5,27.6,0.0,0.1,2.1,0.0,1.4,4.2,0.0,6.6,0.2,0.0,3.7,5.6,0.0
2019-12-18,0.0,2.1,2.2,0.0,0.0,2.0,1.0,0.2,0.0,0.6,0.0,0.5,0.0,0.8,13.4,0.4,2.4,0.0,5.9,0.0,0.0,4.9,10.8,0.0,2.6,0.0,1.1,1.9,0.0,6.5,0.0,7.8,0.0,0.0,0.1,1.2,8.4,5.0
2019-12-19,5.299999999999999,5.7,7.9,0.0,0.0,0.0,0.2,1.0,1.5,2.9,8.3,1.7,7.3,3.3,4.8,4.2,10.0,8.9,0.8,3.3,6.5,14.4,5.9,1.5,12.0,0.0,7.5,18.6,0.1,11.9,11.4,3.8,0.0,0.0,1.0,2.6,4.4,6.5
2019-12-20,4.500000000000001,1.0,0.0,1.4,1.7000000000000002,0.1,3.9,0.0,20.4,6.0,2.5,7.6,22.7,6.9,10.8,,9.8,11.5,6.9,7.1,0.0,0.0,3.8,11.6,18.2,3.2,2.0,32.4,1.5,2.7,13.8,0.6,6.8,6.1,4.5,0.0,2.8,2.0
2019-12-21,0.1,0.0,2.4000000000000004,0.0,0.6,8.399999999999999,6.0,0.1,6.5,0.0,0.0,0.8,1.7,2.3,0.0,0.0,0.0,0.1,2.6,0.0,4.8,6.2,0.0,0.0,1.2,0.0,0.0,3.4,0.0,0.6,0.0,1.8,0.0,1.5,0.4,0.8,3.0,4.2
2019-12-22,1.9,1.0,2.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,4.6,0.0,1.9,0.0,0.0,0.0,1.9,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0
2019-12-23,0.0,6.0,9.8,0.0,0.0,1.2,0.0,5.9,0.0,1.1,0.0,5.8,0.0,0.0,0.0,1.9,4.0,1.8,0.9,2.7,2.2,0.0,0.0,0.0,0.0,0.0,11.9,1.3,0.0,3.1,0.0,0.0,4.6,0.0,0.0,0.0,0.0,5.8
2019-12-24,0.5,0.0,1.0,0.0,0.0,13.9,0.0,6.1,0.0,0.0,1.8,5.8,0.0,0.0,0.0,0.0,0.8,0.0,1.0,19.0,0.0,0.0,0.2,0.0,0.0,0.0,,0.7,0.0,2.9,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-25,2.4,0.0,2.3,0.0,3.3,8.799999999999997,0.0,9.5,0.0,0.0,4.4,1.6,10.3,0.1,1.8,0.0,0.0,3.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,2.0,2.5,0.0,0.0,0.0
2019-12-26,7.999999999999999,2.9000000000000004,1.6,14.7,25.399999999999995,4.799999999999999,11.1,5.4,39.2,10.4,11.4,19.3,14.5,2.5,4.2,2.7,21.4,1.4,6.3,8.2,27.8,21.8,11.6,21.2,14.4,24.6,0.0,25.2,15.2,3.7,14.2,9.6,19.4,30.8,21.2,12.6,0.0,13.5
