lon,lat,pr,tipo,distancia,acum_distancia,topo
-69.477783203125,-15.396408081054688,2.697580337524414,1,0.0,0.0,3888.0205078125
-69.48419166666666,-15.38809722222222,6.529670329670329,0,1.154417269415988,1.154417269415988,3888.0205078125
-69.49605560302734,-15.3787841796875,2.3004746437072754,1,1.6590893711335704,2.8135066405495586,3834.000732421875
-69.51432800292969,-15.3787841796875,2.5371463298797607,1,2.0099639892578125,4.823470629807371,3823.001953125
-69.53260803222656,-15.361175537109375,2.757279872894287,1,2.7919719824738674,7.615442612281239,3940.634033203125
-69.5508804321289,-15.343551635742188,3.495253086090088,1,2.7925325818792976,10.407975194160537,4084.3544921875
-69.56915283203125,-15.325927734375,3.190201759338379,1,2.7925325818792976,13.200507776039835,4078.018798828125
-69.5874252319336,-15.325927734375,3.1796348094940186,1,2.0099639892578125,15.210471765297648,4064.433837890625
-69.60569763183594,-15.308296203613281,3.3247480392456055,1,2.7931152589591677,18.003587024256817,4010.95556640625
-69.62397003173828,-15.290679931640625,3.2396490573883057,1,2.791950035460837,20.795537059717653,3897.1162109375
-69.64225006103516,-15.273048400878906,3.3138222694396973,1,2.793719243582311,23.589256303299962,3908.954345703125
-69.6605224609375,-15.273048400878906,3.1887521743774414,1,2.0099639892578125,25.599220292557774,3854.30859375
-69.67879486083984,-15.255416870117188,3.2218973636627197,1,2.7931152589591677,28.392335551516943,3815.474609375
-69.69706726074219,-15.237785339355469,3.249041795730591,1,2.7931152589591677,31.185450810476112,3821.04345703125
-69.71533966064453,-15.22015380859375,3.9002685546875,1,2.7931152589591677,33.97856606943528,4057.095703125
-69.73361206054688,-15.22015380859375,3.6939642429351807,1,2.0099639892578125,35.988530058693094,3908.97607421875
-69.75830555555554,-15.20686111111111,4.247252747252746,0,3.084837187843929,39.073367246537025,3876.99560546875
-69.75189208984375,-15.202522277832031,3.4673612117767334,1,0.8517581825758677,39.925125429112896,3876.99560546875
-69.75189208984375,-15.202522277832031,3.4673612117767334,1,0.0,39.925125429112896,3876.99560546875
-69.7701644897461,-15.202522277832031,3.106544256210327,1,2.0099639892578125,41.93508941837071,3839.592041015625
-69.75830555555554,-15.20686111111111,4.247252747252746,0,1.3890512991790178,43.324140717549724,3876.99560546875
-69.78843688964844,-15.22015380859375,3.1517200469970703,1,3.622647721909165,46.94678843945889,3827.113525390625
-69.80670928955078,-15.22015380859375,2.9039089679718018,1,2.0099639892578125,48.956752428716705,3818.97412109375
-69.82498168945312,-15.237785339355469,2.998105525970459,1,2.7931152589591677,51.749867687675874,3818.5
-69.84325408935547,-15.237785339355469,2.860215187072754,1,2.0099639892578125,53.759831676933686,3818.654541015625
-69.86153411865234,-15.255416870117188,2.963111639022827,1,2.793719243582311,56.553550920515995,3819.7392578125
-69.87980651855469,-15.255416870117188,2.9284825325012207,1,2.0099639892578125,58.56351490977381,3817.936279296875
-69.89807891845703,-15.273048400878906,2.9830410480499268,1,2.7931152589591677,61.35663016873298,3815.880859375
-69.91635131835938,-15.273048400878906,2.853703737258911,1,2.0099639892578125,63.36659415799079,3822.2119140625
-69.93462371826172,-15.290679931640625,2.811966896057129,1,2.7931152589591677,66.15970941694995,3821.65625
-69.95289611816406,-15.290679931640625,2.736013650894165,1,2.0099639892578125,68.16967340620776,3822.94384765625
-69.97117614746094,-15.308296203613281,2.4858272075653076,1,2.7925542721031134,70.96222767831088,3824.04296875
-69.97247222222222,-15.311666666666667,3.167032967032967,0,0.39721776756722094,71.35944544587811,3824.04296875
-69.97117614746094,-15.308296203613281,2.4858272075653076,1,0.39721776756722094,71.75666321344534,3824.04296875
