Unnamed: 0,est,alt,lon,lat,pr,EXP0_pr,EXP0-OBS,EXP1_pr,EXP1-OBS,EXP5_pr,EXP5-OBS
114050,ANANEA,4660.0,-69.53385555555555,-14.676277777777774,4.391111111111112,5.880859375,1.4897482638888881,6.287718296051025,1.8966071849399135,6.659054756164551,2.267943645053439
115035,ARAPA,3837.0,-70.10904444444444,-15.178572222222224,3.968131868131868,2.5713062286376953,-1.3968256394941725,2.7420153617858887,-1.2261165063459791,1.9796720743179321,-1.9884597938139357
114038,AYAVIRI,3941.0,-70.59161111111109,-14.868766666666668,5.041758241758242,4.228664398193359,-0.8130938435648822,3.726907968521118,-1.3148502732371234,4.337533950805664,-0.7042242909525775
114041,AZANGARO,3857.0,-70.19047222222223,-14.917194444444444,3.976404494382022,2.4436328411102295,-1.5327716532717925,3.1019136905670166,-0.8744908038150054,3.090275287628174,-0.8861292067538482
115033,CABANILLAS,3885.0,-70.34660833333332,-15.639108333333333,4.254945054945056,2.4582464694976807,-1.7966985854473752,2.740464210510254,-1.514480844434802,2.7530033588409424,-1.5019416961041134
116075,CALLACAME,3862.0,-69.31697222222222,-16.57225,4.3439560439560445,3.5307371616363525,-0.813218882319692,3.7677743434906006,-0.5761817004654439,3.962113380432129,-0.3818426635239156
100021,CAPACHICA,3822.0,-69.84222222222222,-15.613444444444443,4.721978021978022,5.185047626495361,0.46306960451733925,4.216947555541992,-0.5050304664360299,4.0308451652526855,-0.6911328567253365
115053,COJATA,4347.0,-69.36115277777778,-15.011791666666667,3.743956043956044,3.806079864501953,0.06212382054590915,3.8414604663848877,0.09750442242884372,3.7863142490386963,0.04235820508265231
116060,DESAGUADERO,3833.0,-69.03680555555556,-16.563277777777778,4.797802197802197,4.332663536071777,-0.4651386617304194,5.5251030921936035,0.7273008943914068,4.631865978240967,-0.16593621956122995
115037,HUANCANE,3842.0,-69.75830555555554,-15.20686111111111,4.247252747252746,3.045076370239258,-1.2021763770134886,3.4673612117767334,-0.779891535476013,2.6387579441070557,-1.6084948031456907
115038,HUARAYA_MOHO,3836.0,-69.48419166666666,-15.38809722222222,6.529670329670329,3.0472817420959473,-3.4823885875743814,2.697580337524414,-3.8320899921459146,3.013063430786133,-3.516606898884196
100059,ICHUс,3778.0,-70.54270277777778,-16.14108611111111,4.7835164835164825,2.737856388092041,-2.0456600954244415,2.581388473510742,-2.2021280100057403,2.6849679946899414,-2.098548488826541
116027,ILAVE,3874.0,-69.64038888888889,-16.059944444444444,3.274725274725274,5.497767448425293,2.2230421737000188,5.315871715545654,2.04114644082038,5.781550407409668,2.5068251326843938
100065,ISLA_SOTO,3832.0,-69.48897222222223,-15.562194444444444,6.293406593406592,3.0071980953216553,-3.286208498084937,3.5710086822509766,-2.722397911155616,3.424649477005005,-2.8687571164015875
116009,ISLA_SUANA,3840.0,-68.85033333333332,-16.329916666666666,6.572527472527475,4.446041107177734,-2.1264863653497406,4.880377769470215,-1.69214970305726,3.1744654178619385,-3.3980620546655365
115138,JULIACA,3838.0,-70.20778333333334,-15.44415,3.4439560439560437,2.5830979347229004,-0.8608581092331433,2.6200971603393555,-0.8238588836166882,2.907003164291382,-0.5369528796646619
100081,LAMPA,3866.0,-70.37416666666665,-15.361083333333331,4.239560439560439,2.1620283126831055,-2.0775321268773332,2.299488067626953,-1.9400723719334856,2.978282928466797,-1.2612775110936418
100088,LOS_UROS,3819.0,-69.97413888888889,-15.820388888888884,4.230232558139535,4.06671667098999,-0.16351588714954435,3.708662748336792,-0.5215698098027426,3.874621629714966,-0.35561092842456876
115051,MAсZO,3931.0,-70.3395,-15.799444444444443,4.194382022471911,3.2850306034088135,-0.9093514190630971,3.2158732414245605,-0.9785087810473501,2.988595724105835,-1.2057862983660756
116026,MAZO_CRUZ,3980.0,-69.71544444444444,-16.73888888888889,4.2775280898876415,3.5173282623291016,-0.76019982755854,3.196805953979492,-1.0807221359081494,3.1715168952941895,-1.106011194593452
114042,MUсNI,3932.0,-69.95180555555554,-14.766944444444444,4.132584269662919,3.9180569648742676,-0.21452730478865156,4.008552074432373,-0.1240321952305461,3.8143961429595947,-0.3181881267033244
116029,PIZACOMA,3930.0,-69.36952777777778,-16.90434722222222,4.779120879120878,3.506990432739258,-1.2721304463816203,3.751901865005493,-1.027219014115385,3.1697707176208496,-1.6093501615000285
114040,PROGRESO,3925.0,-70.36780555555555,-14.671694444444444,4.832967032967031,5.468818664550781,0.6358516315837504,5.636153221130371,0.8031861881633402,5.317063331604004,0.484096298636973
115046,PUCARA,3877.0,-70.36663888888889,-15.045666666666667,5.580219780219782,2.604506492614746,-2.9757132876050356,3.125917434692383,-2.454302345527399,3.0063235759735107,-2.573896204246271
114093,PUTINA,3861.0,-69.87569444444443,-14.921,4.396703296703297,2.9730594158172607,-1.4236438808860363,2.927445650100708,-1.469257646602589,2.633432626724243,-1.763270669979054
270200,RAMIS,3826.0,-69.87392777777778,-15.255808333333333,3.551648351648351,3.0177998542785645,-0.5338484973697866,2.9284825325012207,-0.6231658191471303,2.6222033500671387,-0.9294450015812123
115140,SANTA_LUCIA,4045.0,-70.5992722222222,-15.694075,4.745054945054945,2.7364144325256348,-2.0086405125293103,2.3494174480438232,-2.395637497011122,2.783337354660034,-1.961717590394911
116030,TAHUACO_-_YUNGUYO,3888.0,-69.07472222222222,-16.307833333333335,3.287912087912089,5.439271926879883,2.1513598389677937,4.391037940979004,1.1031258530669148,4.326414108276367,1.038502020364278
115047,TARACO,3828.0,-69.97247222222222,-15.311666666666667,3.167032967032967,2.798706293106079,-0.3683266739268878,2.4858272075653076,-0.6812057594676593,2.6734368801116943,-0.49359608692127255
472E112A,ILAVE,3850.0,-69.62591666666665,-16.08825,3.0736263736263734,5.469114303588867,2.395487929962494,5.36694860458374,2.293322230957367,5.656546592712402,2.582920219086029
472CF72C,JULIACA,3826.0,-70.17122222222223,-15.471055555555555,3.6307692307692303,2.517970085144043,-1.1127991456251873,2.6048507690429688,-1.0259184617262616,2.846865177154541,-0.7839040536146893
472E8448,LAGUNILLAS,4177.0,-70.67750000000002,-15.745616666666663,4.504395604395604,2.93329119682312,-1.5711044075724843,2.794482946395874,-1.7099126579997304,2.6009531021118164,-1.903442502283788
472CB426,LARAQUERI,3928.0,-70.04588888888888,-16.135916666666667,4.2615384615384615,4.953324317932129,0.6917858563936674,5.114285469055176,0.8527470075167143,4.914579391479492,0.6530409299410307
472E37C6,PALCA,4073.0,-70.59315,-15.235866666666665,5.864835164835164,3.6273303031921387,-2.2375048616430258,3.5073206424713135,-2.357514522363851,4.012823581695557,-1.8520115831396078
