code,est,lat_model,lon_model,dia
472E112A,ILAVE,-16.08236,-69.62397,0.1578187
472CF72C,JULIACA,-15.466866,-70.17219,0.20286843
472E8448,LAGUNILLAS,-15.7484665,-70.683846,0.19696598
472CB426,LARAQUERI,-16.135025,-70.044266,0.18530136
472E37C6,PALCA,-15.237785,-70.59248,0.2744498
