Unnamed: 0,est,alt,lon,lat,pr,dia,noche
472E112A,ILAVE,3850.0,-69.62591666666665,-16.08825,3.0736263736263734,0.1851851851851852,0.0732600732600733
472CF72C,JULIACA,3826.0,-70.17122222222223,-15.471055555555555,3.6307692307692303,0.1231481481481481,0.1807692307692307
472E8448,LAGUNILLAS,4177.0,-70.67750000000002,-15.745616666666663,4.504395604395604,0.1442592592592592,0.2326923076923076
472CB426,LARAQUERI,3928.0,-70.04588888888888,-16.135916666666667,4.2615384615384615,0.1902777777777777,0.166941391941392
472E37C6,PALCA,4073.0,-70.59315,-15.235866666666665,5.864835164835164,0.2134259259259259,0.2776556776556776
