code,est,lat_model,lon_model,dia
472E112A,ILAVE,-16.08236,-69.62397,0.32169396
472CF72C,JULIACA,-15.466866,-70.17219,0.35878518
472E8448,LAGUNILLAS,-15.7484665,-70.683846,0.35679266
472CB426,LARAQUERI,-16.135025,-70.044266,0.31229237
472E37C6,PALCA,-15.237785,-70.59248,0.432209
