Unnamed: 0,est,alt,lon,lat,t2m,EXP0_t2m,EXP0-OBS,EXP1_t2m,EXP1-OBS,EXP5_t2m,EXP5-OBS
114050,ANANEA,4660.0,-69.53385555555555,-14.676277777777774,5.408888888888889,4.014724254608154,-1.3941646342807346,4.228263854980469,-1.18062503390842,4.143956661224365,-1.2649322276645236
115035,ARAPA,3837.0,-70.10904444444444,-15.178572222222224,10.743333333333329,10.429862976074219,-0.31347035725911,10.705343246459961,-0.0379900868733678,10.912860870361328,0.1695275370279994
114038,AYAVIRI,3941.0,-70.59161111111109,-14.868766666666668,11.162637362637364,10.419875144958496,-0.7427622176788677,10.489806175231934,-0.6728311874054302,10.212238311767578,-0.9503990508697857
114041,AZANGARO,3857.0,-70.19047222222223,-14.917194444444444,11.541573033707866,11.080580711364746,-0.46099232234312026,11.038739204406738,-0.5028338293011281,11.607382774353027,0.06580974064516099
115033,CABANILLAS,3885.0,-70.34660833333332,-15.639108333333333,11.481868131868133,10.710811614990234,-0.7710565168778984,11.007819175720215,-0.474048956147918,10.869609832763672,-0.612258299104461
100021,CAPACHICA,3822.0,-69.84222222222222,-15.613444444444443,10.358241758241755,10.316717147827148,-0.041524610414606755,10.588397026062012,0.23015526782025653,10.539658546447754,0.1814167882059987
115053,COJATA,4347.0,-69.36115277777778,-15.011791666666667,7.145930232558139,6.069977760314941,-1.0759524722431975,6.205031871795654,-0.9408983607624846,6.200869560241699,-0.9450606723164396
115037,HUANCANE,3842.0,-69.75830555555554,-15.20686111111111,10.245054945054942,9.674662590026855,-0.5703923550280869,10.324207305908203,0.07915236085326072,10.4108247756958,0.16576983064085837
115038,HUARAYA_MOHO,3836.0,-69.48419166666666,-15.38809722222222,10.439560439560436,9.825889587402344,-0.6136708521580925,10.203153610229492,-0.23640682933094403,10.301216125488281,-0.13834431407215497
100059,ICHUс,3778.0,-70.54270277777778,-16.14108611111111,12.71609195402299,9.400727272033691,-3.3153646819892995,9.769354820251465,-2.946737133771526,9.734299659729004,-2.981792294293987
116027,ILAVE,3874.0,-69.64038888888889,-16.059944444444444,11.10555555555556,10.698386192321777,-0.4071693632337823,10.752677917480469,-0.35287763807509087,10.743317604064941,-0.3622379514906182
116009,ISLA_SUANA,3840.0,-68.85033333333332,-16.329916666666666,11.216483516483516,10.860962867736816,-0.3555206487466993,11.107949256896973,-0.10853425958654306,11.534890174865723,0.31840665838220694
115138,JULIACA,3838.0,-70.20778333333334,-15.44415,11.807692307692305,11.115766525268555,-0.6919257824237501,11.288832664489746,-0.5188596432025587,11.28596019744873,-0.5217321102435744
100081,LAMPA,3866.0,-70.37416666666665,-15.361083333333331,10.527472527472527,11.024846076965332,0.49737354949280466,11.108879089355469,0.5814065618829414,11.050679206848145,0.5232066793756172
100088,LOS_UROS,3819.0,-69.97413888888889,-15.820388888888884,11.258139534883728,10.469110488891602,-0.7890290459921268,10.505045890808105,-0.7530936440756228,11.181203842163086,-0.07693569272064238
115051,MAсZO,3931.0,-70.3395,-15.799444444444443,11.121111111111114,10.559700012207031,-0.5614110989040828,10.569792747497559,-0.5513183636135555,10.731823921203613,-0.3892871899075008
116026,MAZO_CRUZ,3980.0,-69.71544444444444,-16.73888888888889,9.79230769230769,10.228785514831543,0.4364778225238535,10.47679615020752,0.68448845789983,10.390581130981445,0.5982734386737558
