code,est,lat_model,lon_model,noche
472E112A,ILAVE,-16.08236,-69.62397,0.30026227
472CF72C,JULIACA,-15.466866,-70.17219,0.16950011
472E8448,LAGUNILLAS,-15.7484665,-70.683846,0.12261345
472CB426,LARAQUERI,-16.135025,-70.044266,0.21188956
472E37C6,PALCA,-15.237785,-70.59248,0.2129844
